Name,2oz Price,1oz Price,1/2oz Price,Spirit
Beinn Mhor 100pf 1920's bottling,,,50,Blended scotch
Blackadder Chimera,,60,30,Blended scotch
Compass Box Affinity,,40,20,Blended scotch
Compass Box Canvas,30,15,,Blended scotch
Compass Box Glasgow Blend,,,11,Blended scotch
Compass Box Hedonism,24,12,,Blended scotch
Compass Box Juveniles,30,15,,Blended scotch
Compass Box Myths and Legends III,,40,20,Blended scotch
Compass Box No Name #2,30,15,,Blended scotch
Compass Box Peat Monster,20,10,,Blended scotch
Compass Box Peat Monster Arcana,20,10,,Blended scotch
Compass Box Spice Tree,,,18,Blended scotch
Compass Box Stranger & Stranger,40,20,10,Blended scotch
Compass Box The Circle #1,35,18,,Blended scotch
Compass Box Tobias and the Angel 2019 Release,,200,100,Blended scotch
Compass Box Vellichor,,100,50,Blended scotch
MacNair's Lum Reek 12yr Peated,,,18,Blended scotch
Monkey Shoulder,,,12,Blended scotch
Samaroli Evolution 2011,,,40,Blended scotch
Samaroli Blended Scotch 2008,80,40,20,Blended scotch
Barrell Seagrass 16yr Rye,,,30,American Rye Whiskey
Cream of Kentucky Rye,20,10,,American Rye Whiskey
Cream of Kentucky BIB Rye,22,11,,American Rye Whiskey
High West Double Rye,,,13,American Rye Whiskey
Dickel/Leopold Bros. Collaboration Rye,40,20,10,American Rye Whiskey
Elijah Craig Rye,,,12,American Rye Whiskey
Frey Ranch Rye,,,16,American Rye Whiskey
Heaven Hill Grain to Glass 2024 Rye,32,16,8,American Rye Whiskey
High West Rocky Mountain Rye 16yr,,,100,American Rye Whiskey
Hirsch Select 25yr Rye,,,100,American Rye Whiskey
Jack Daniel's Rye,,,12,American Rye Whiskey
Jack Daniel's Single Barrel Rye,,,14,American Rye Whiskey
Jack Daniels Twice Barreled Single Barrel Rye 2023,,,50,American Rye Whiskey
Jack Daniels Distillery Series Twice Barreled Rye (2024 release),,20,10,American Rye Whiskey
Laws San Luis Rye,,,14,American Rye Whiskey
Lost Republic Rye,,,12,American Rye Whiskey
Lost Republic Single Barrel Rye,20,10,,American Rye Whiskey
Lost Republic Cask Strength Rye,20,10,,American Rye Whiskey
Michter's Rye 10yr 2014 Release,,,50,American Rye Whiskey
Michter's Rye 10yr 2016 Release,,,40,American Rye Whiskey
Michter's Rye 10yr 2017 Release,,,40,American Rye Whiskey
Michter's Rye 10yr 2018 Release,,,40,American Rye Whiskey
Michter's Rye 10yr 2019 Release,,,40,American Rye Whiskey
Michter's Rye 10yr 2020 Release,,60,30,American Rye Whiskey
Michter's Rye 10yr 2021 Release,,60,30,American Rye Whiskey
Michter's Rye 10yr 2022 Release,,60,30,American Rye Whiskey
Michter's Rye 10yr 2023 Release,,60,30,American Rye Whiskey
Michter's Rye 10yr 2024 Release,,60,30,American Rye Whiskey
Michter's Rye 25yr 2011 1st Release,,,500,American Rye Whiskey
Michter's Barrel Strength Rye 2015 1st Release,,,50,American Rye Whiskey
Michter's Barrel Strength Rye 2021,,,20,American Rye Whiskey
Michter's Barrel Strength Rye 2024,60,30,15,American Rye Whiskey
Michter's Toasted Barrel Strength Rye 2023,60,30,15,American Rye Whiskey
Michter's Rye US1,,,15,American Rye Whiskey
Old Carter Rye Batch #4,,40,20,American Rye Whiskey
Old Carter Rye Batch #5,,40,20,American Rye Whiskey
Old Carter Rye Batch #6,,40,20,American Rye Whiskey
Old Carter Rye Batch #7,,40,20,American Rye Whiskey
Old Carter Rye Batch #8,,40,20,American Rye Whiskey
Old Carter Rye Batch #9,,40,20,American Rye Whiskey
Old Carter Rye Batch #12,,40,20,American Rye Whiskey
Old Carter Rye Batch #14,,40,20,American Rye Whiskey
Old Overholt 10yr Rye 2023,,60,30,American Rye Whiskey
Old Overholt 10yr Cask Strength Rye,80,40,20,American Rye Whiskey
Old Overholt Rye 11yr 2009 Release,,,40,American Rye Whiskey
Parker's Heritage Rye 8yr,,,40,American Rye Whiskey
Pikesville Rye,,,13,American Rye Whiskey
Rabbit Hole Rye,16,8,,American Rye Whiskey
Redwood Empire Emerald Giant Rye,,,15,American Rye Whiskey
Rittenhouse 100pf Rye,,,11,American Rye Whiskey
Russell's Reserve 6yr Rye,,,13,American Rye Whiskey
Russell's Reserve Single Barrel 104pf,16,8,,American Rye Whiskey
Savage & Cooke Lip Service Rye,,,13,American Rye Whiskey
Sazerac Rye,,,13,American Rye Whiskey
Sentinel Straight Rye,,,11,American Rye Whiskey
Smooth Ambler Contradiction Rye,,,13,American Rye Whiskey
Stellum Rye,,,15,American Rye Whiskey
Subtle Spirits Mystic Oak 7yr Rye,,40,20,American Rye Whiskey
Subtle Spirits Quixotic Straight Rye,,40,20,American Rye Whiskey
Thomas H. Handy Sazerac Rye 2010 Release,,,150,American Rye Whiskey
Vintage Rye 23yr,,,200,American Rye Whiskey
Whistle Pig Piggyback 6yr Rye,,,14,American Rye Whiskey
Whistle Pig 10yr Rye,,,18,American Rye Whiskey
Whistle Pig Old World 12yr,21,11,,American Rye Whiskey
Widow Jane American Oak Rye,,,18,American Rye Whiskey
Wild Turkey 101 Rye,,,12,American Rye Whiskey
Wild Turkey Master's Keep Triumph 10yr Rye 2024 Release,80,40,20,American Rye Whiskey
Wilderness Trail Rye,,,13,American Rye Whiskey
"Willett 3yr Rye Barrel #125 115.3pf ""Block Letter""",,,75,American Rye Whiskey
Willett Family Estate 4yr Rye Cask Strength,,20,10,American Rye Whiskey
Willett Family Estate Single Barrel 4yr Rye 110pf Barrel #135,60,30,15,American Rye Whiskey
Willett Family Estate Single Barrel Rye 7yr,,120,60,American Rye Whiskey
Willett Family Estate Single Barrel Rye 7yr Delta Breeze,,60,30,American Rye Whiskey
Willett Family Estate Single Barrel Rye 7yr Dock of the Bay,,100,50,American Rye Whiskey
Willett Family Estate Single Barrel Rye 7yr I Got Rye On It,,40,20,American Rye Whiskey
Willett Family Estate Single Barrel Rye 8yr 2017,,40,20,American Rye Whiskey
Willett Family Estate Single Barrel Rye 8yr 2022,,100,50,American Rye Whiskey
Willett Small Batch 4yr Rye 109pf,,30,15,American Rye Whiskey
Willett Small Batch 4yr Rye 113.8pf,,30,15,American Rye Whiskey
Willett Small Batch 4yr Rye 126pf,,40,20,American Rye Whiskey
Willett Small Batch 10yr Rye,,100,50,American Rye Whiskey
Woodford Reserve Rye,,,13,American Rye Whiskey
Wright & Brown Straight Rye,,,15,American Rye Whiskey
Wright & Brown Cask Strength Rye,22,11,,American Rye Whiskey
1792 Full Proof Bourbon,,,18,Bourbon
1792 Small Batch Bourbon,,,12,Bourbon
Baker's,,,14,Bourbon
Barrell Bourbon,23,12,,Bourbon
Barrell Bourbon Batch #035,22,11,,Bourbon
Barrell Bourbon 15yr Cask Strength,,60,30,Bourbon
Basil Hayden,,,14,Bourbon
Bomberger's 2020 Bourbon,,40,20,Bourbon
Bomberger's 2021 Bourbon,,40,20,Bourbon
Bomberger's 2022 Bourbon,,40,20,Bourbon
Bomberger's 2023 Bourbon,,40,20,Bourbon
Bomberger's 2024 Bourbon,,40,20,Bourbon
Bond and Lillard,,,18,Bourbon
Booker's Mighty Fine 6yr,,40,20,Bourbon
Booker's 30th Anniversary,,,100,Bourbon
Colonel E.H. Taylor Single Barrel,,30,15,Bourbon
Colonel E.H. Taylor Barrel Proof 127.3pf,,40,20,Bourbon
Corner Creek 90s/2000s Blended and bottled at KBD,,30,15,Bourbon
Cream of Kentucky Cask Strength,20,10,,Bourbon
Cream of Kentucky Small Batch,20,10,,Bourbon
Cream of Kentucky 7.5yr,26,13,,Bourbon
Cream of Kentucky 11.5yr,,30,15,Bourbon
Cream of Kentucky 12.3yr,,30,15,Bourbon
Cream of Kentucky 16yr,,,50,Bourbon
David Nicholson 1843 Bourbon,,20,10,Bourbon
Dread River Bourbon 1st Release,,30,15,Bourbon
Dickel Bourbon 8yr,,,12,Bourbon
Elijah Craig Goose Island Beer Barrel Finished 94pf Grenade 2021 (Distillery Only),,40,20,Bourbon
Elijah Craig Barrel Select 125pf Grenade 2021 (Distillery Only),,40,20,Bourbon
Elijah Craig 18yr Single Barrel,,40,20,Bourbon
Elijah Craig 21yr Single Barrel,,,100,Bourbon
Elijah Craig 23yr 2017,,400,200,Bourbon
Elijah Craig Barrel Proof 118.2pf,20,10,,Bourbon
Elijah Craig Barrel Proof 120.2pf,20,10,,Bourbon
Elijah Craig Barrel Proof 123.6pf,20,10,,Bourbon
Elijah Craig Small Batch,,,12,Bourbon
Elijah Craig Small Batch 12yr,30,15,,Bourbon
Evan Williams Pre fire BIB (distilled or bottled before 1996) Pint,,60,30,Bourbon
Evan Williams Pre fire (distilled or bottled before 1996) Single Barrel 1992,,,30,Bourbon
Evan Williams Single Barrel 10yr Anniversary Barrel #1,,,50,Bourbon
Evan Williams Single Barrel 10yr Anniversary Barrel #2,,,50,Bourbon
Evan Williams Single Barrel 10yr Anniversary Barrel #3,,,50,Bourbon
Evan Williams 23yr Distillery Only 1rst Release signed by Parker Beam,,,100,Bourbon
Evan Williams 8yr 86pf Pre Fire 1995,80,40,20,Bourbon
Evan Williams NAS 86pf Pre Fire 1997,100,50,25,Bourbon
Four Roses 130th Anniversary 2018 Release,,,80,Bourbon
Four Roses 135th Anniversary 2023 Release,,100,50,Bourbon
Four Roses early 1990s Japanese Release,,,25,Bourbon
Four Roses Japanese Platinum,,30,15,Bourbon
Four Roses Limited Edition 2017 Release,,,20,Bourbon
Four Roses Limited Edition 2020 Release,,,20,Bourbon
Four Roses Limited Edition 2021 Release,,,20,Bourbon
"Four Roses 2011 ""Ledger's Liquors"" Barrel Pick 125pf",,,30,Bourbon
Four Roses Single Barrel,,,14,Bourbon
Four Roses Single Barrel Reserve 1980s,,,50,Bourbon
Four Roses Small Batch,,,12,Bourbon
Four Roses Small Batch Select,,,16,Bourbon
Four Roses Yellow Label,,,11,Bourbon
Frank August Small Batch 100pf,20,10,,Bourbon
Frank August Case Study #01 Mizunara,40,20,10,Bourbon
Frey Ranch Bourbon,,,14,Bourbon
George T. Stagg,300,150,75,Bourbon
Heaven Hill Brown Label Pre fire (distilled or bottled before 1996) 86pf Pint,,60,30,Bourbon
Heaven Hill Gold Label Pre fire (distilled or bottled before 1996) 86pf Liter,,80,40,Bourbon
Heaven Hill White Label Pre fire (distilled or bottled before 1996) 750ml,,50,25,Bourbon
Heaven Hill 6yr Kentucky Only Release,,40,20,Bourbon
Heaven Hill 12yr 101pf Japanese Import,,40,20,Bourbon
Heaven Hill 12yr Cadenhead Bottling Squat,,60,30,Bourbon
Heaven Hill 12yr Cadenhead Bottling Tall,120,60,30,Bourbon
Heaven Hill Heritage Series 17yr,,100,50,Bourbon
Heaven Hill Heritage Series 18yr,,100,50,Bourbon
Heaven Hill Heritage Series 20yr,,80,40,Bourbon
Heaven Hill Heritage Series 27yr,,,150,Bourbon
Virgin Bourbon 7yr 101 pf Heaven Hill discontinued in 2019,40,20,10,Bourbon
Heaven Hill Bottled in Bond,,,13,Bourbon
Heaven Hill Grain to Glass 2024 Bourbon,32,16,8,Bourbon
Heaven Hill Grain to Glass 2024 Wheated Bourbon,32,16,8,Bourbon
Heaven Hill Select Stock 9yr (Distillery only) 51% Malt 49% Corn,,60,30,Bourbon
Henry McKenna 10yr,,,17,Bourbon
High West Bourbon,,,13,Bourbon
Hunt and Gather 15yr 2005,,,30,Bourbon
Jefferson's Grand Reserve Sauternes Finish,,,40,Bourbon
Jefferson's Ocean,,,18,Bourbon
Johnny Drum Private Stock,,,15,Bourbon
Kentucky Vintage,,,13,Bourbon
Kentucky Vintage 17yr,,,200,Bourbon
Knob Creek 9yr Small Batch,,,14,Bourbon
Knob Creek 18yr,,40,20,Bourbon
Knob Creek 25th Anniversary,,40,20,Bourbon
Larceny,,,12,Bourbon
Larceny Barrel Proof 126.6pf,,,15,Bourbon
Law's Four Grain Bourbon,,,14,Bourbon
